%time,field.x,field.y,field.z
1666088299456135285,0.0,0.0,0.0
1666088299507898272,0.0,0.0,0.0
1666088299619232415,0.0,0.0,0.0
1666088299721068344,0.0,0.0,0.0
1666088299721260345,0.0,0.0,0.0
1666088299798700191,0.0,0.0,0.0
1666088299899509961,0.0,0.0,0.0
1666088299945526990,0.0,0.0,0.0
1666088300006029580,0.0,0.0,0.0
1666088300071864217,0.0,0.0,0.0
1666088300184227481,0.0,0.0,0.0
1666088300269762092,0.0,0.0,0.0
1666088300371048017,0.0,0.0,0.0
1666088300431154739,0.0,0.0,0.0
1666088300431343099,0.0,0.0,0.0
1666088300523017615,0.0,0.0,0.0
1666088300598637994,0.0,0.0,0.0
1666088300689973462,0.0,0.0,0.0
1666088300801943877,0.0,0.0,0.0
1666088300802089193,0.0,0.0,0.0
1666088300889755235,0.0,0.0,0.0
1666088300972181548,0.0,0.0,0.0
1666088301072192846,0.0,0.0,0.0
1666088301164708455,0.0,0.0,0.0
1666088301164844221,0.0,0.0,0.0
1666088301245842550,0.0,0.0,0.0
1666088301318715986,0.0,0.0,0.0
1666088301401016986,0.0,0.0,0.0
1666088301533290044,0.0,0.0,0.0
1666088301541331473,0.0,0.0,0.0
1666088301610546212,0.0,0.0,0.0
1666088301679702923,0.0,0.0,0.0
1666088301775186001,0.0,0.0,0.0
1666088301826387648,0.0,0.0,0.0
1666088301878645679,0.0,0.0,0.0
1666088301942212161,0.0,0.0,0.0
1666088302004128925,0.0,0.0,0.0
1666088302134231881,0.0,0.0,0.0
1666088302143469147,0.0,0.0,0.0
1666088302243339976,0.0,0.0,0.0
1666088302341092929,0.584368109703064,-0.5933253765106201,0.0
1666088302423478909,0.5208563208580017,-0.6869709491729736,0.0
1666088302424985756,0.5356428623199463,-0.7610881924629211,0.0
1666088302479891114,0.48865658044815063,-0.8111598491668701,0.0
1666088302576086958,0.4581548869609833,-0.830544114112854,0.0
1666088302636270623,0.4404515027999878,-0.8389795422554016,0.0
1666088302762649294,0.433712899684906,-0.8661495447158813,0.0
1666088302763870454,0.4732202887535095,-0.8197744488716125,0.0
1666088302905492829,0.48530206084251404,-0.7875704765319824,0.0
1666088302906811160,0.49841684103012085,-0.779976487159729,0.0
1666088302991408453,0.4884991943836212,-0.7906836271286011,0.0
1666088303105773774,0.5008249282836914,-0.7562767863273621,0.0
1666088303152528396,0.519622802734375,-0.7390986680984497,0.0
1666088303245742788,0.5140978693962097,-0.7404995560646057,0.0
1666088303324822951,0.5191285014152527,-0.7332742810249329,0.0
1666088303372141501,0.5265372395515442,-0.7211090922355652,0.0
1666088303393881524,0.5387753844261169,-0.705192506313324,0.0
1666088303461513583,0.5710880756378174,-0.6911383867263794,0.0
1666088303600266962,0.6045635938644409,-0.6706773638725281,0.0
1666088303609053312,0.6363503336906433,-0.6440179347991943,0.0
1666088303733816359,0.6636353731155396,-0.608620285987854,0.0
1666088303735341325,0.6966419219970703,-0.5679476261138916,0.0
1666088303848195195,0.746494710445404,-0.49652379751205444,0.0
1666088303900070027,0.7782352566719055,-0.4344870448112488,0.0
1666088303970744644,0.8036587834358215,-0.38343316316604614,0.0
1666088304035123521,0.8271098732948303,-0.32948917150497437,0.0
1666088304104042646,0.8455725908279419,-0.31014198064804077,0.0
1666088304226947251,0.8501318693161011,-0.2879888117313385,0.0
1666088304295163262,0.8651215434074402,-0.2723136246204376,0.0
1666088304372025040,0.8655287027359009,-0.25434139370918274,0.0
1666088304412213203,0.8745614886283875,-0.24333803355693817,0.0
1666088304475527694,0.8637812733650208,-0.22382915019989014,0.0
1666088304537718592,0.8556124567985535,-0.20795486867427826,0.0
1666088304641879800,0.8597089052200317,-0.19829925894737244,0.0
1666088304701569886,0.8511604070663452,-0.1880032867193222,0.0
1666088304749123869,0.8536053895950317,-0.18822266161441803,0.0
1666088304843164203,0.8454587459564209,-0.1877124011516571,0.0
1666088304874174936,0.8375120162963867,-0.1917615681886673,0.0
1666088304947040092,0.8437361717224121,-0.19713763892650604,0.0
1666088305053136725,0.8405659198760986,-0.2093077450990677,0.0
1666088305128854587,0.8370777368545532,-0.22206535935401917,0.0
1666088305209959595,0.8405808210372925,-0.23133309185504913,0.0
1666088305276135566,0.8423303961753845,-0.24749216437339783,0.0
1666088305309815716,0.8419152498245239,-0.2615952491760254,0.0
1666088305373624001,0.8438448905944824,-0.2769472002983093,0.0
1666088305442879937,0.8480873703956604,-0.28882136940956116,0.0
1666088305561069970,0.8498688340187073,-0.3033718168735504,0.0
1666088305660173119,0.8586955666542053,-0.3224729895591736,0.0
1666088305708414714,0.8655605316162109,-0.342455118894577,0.0
1666088305765855798,0.8686362504959106,-0.35960498452186584,0.0
1666088305827635919,0.8773698210716248,-0.3758153021335602,0.0
1666088305950014160,0.8819217085838318,-0.38639843463897705,0.0
1666088306007312348,0.8921399116516113,-0.39732587337493896,0.0
1666088306109234801,0.9011514782905579,-0.40925830602645874,0.0
1666088306205905751,0.9105951189994812,-0.4190830588340759,0.0
1666088306283779851,0.9245478510856628,-0.41624757647514343,0.0
1666088306321145104,0.9271210432052612,-0.41873541474342346,0.0
1666088306386061213,0.9337024688720703,-0.4190157651901245,0.0
1666088306475401018,0.939223051071167,-0.4153032898902893,0.0
1666088306521674754,0.9509103894233704,-0.4096037447452545,0.0
1666088306607532411,0.9686104655265808,-0.4038875997066498,0.0
1666088306685840700,1.0030121803283691,-0.38542741537094116,0.0
1666088306720221168,1.025586724281311,-0.38143470883369446,0.0
1666088306784955611,1.057665467262268,-0.38155701756477356,0.0
1666088306849717774,1.0836549997329712,-0.38045361638069153,0.0
1666088306936287237,1.1127536296844482,-0.37903472781181335,0.0
1666088306982693189,1.1479400396347046,-0.3791319727897644,0.0
1666088307083081631,1.182667851448059,-0.3782075345516205,0.0
1666088307116895649,1.2138782739639282,-0.37524810433387756,0.0
1666088307202557436,1.2440801858901978,-0.3700089156627655,0.0
1666088307287147353,1.2690670490264893,-0.36494317650794983,0.0
1666088307348462858,1.2818398475646973,-0.35763126611709595,0.0
1666088307386151799,1.2846511602401733,-0.3532945513725281,0.0
1666088307480558337,1.2937428951263428,-0.3509674370288849,0.0
1666088307546116954,1.3104355335235596,-0.35643190145492554,0.0
1666088307604059174,1.3105251789093018,-0.3564798831939697,0.0
1666088307690105525,1.3116841316223145,-0.3562125265598297,0.0
1666088307718180427,1.3176426887512207,-0.35758399963378906,0.0
1666088307820760799,1.3205474615097046,-0.3608570992946625,0.0
1666088307845655096,1.3215876817703247,-0.3645179271697998,0.0
1666088307976766999,1.3182672262191772,-0.36865803599357605,0.0
1666088308048479940,1.3153225183486938,-0.3719455301761627,0.0
1666088308111368140,1.31162428855896,-0.37564265727996826,0.0
1666088308214060522,1.3108699321746826,-0.3810337781906128,0.0
1666088308215530660,1.3084661960601807,-0.38718944787979126,0.0
1666088308298273794,1.2953672409057617,-0.3892836272716522,0.0
1666088308387223961,1.3008815050125122,-0.4009762704372406,0.0
1666088308459748867,1.3097560405731201,-0.4147818088531494,0.0
1666088308578092564,1.317210078239441,-0.42926162481307983,0.0
1666088308579950277,1.3251546621322632,-0.4463445544242859,0.0
1666088308705675706,1.3268650770187378,-0.46056243777275085,0.0
1666088308798394928,1.324172019958496,-0.4747079610824585,0.0
1666088308885581408,1.324087381362915,-0.48852643370628357,0.0
1666088308886910472,1.3166946172714233,-0.5026360154151917,0.0
1666088308979597577,1.3022494316101074,-0.527836263179779,0.0
1666088309067765809,1.285491704940796,-0.5492619872093201,0.0
1666088309149635307,1.2797324657440186,-0.5685261487960815,0.0
1666088309219725126,1.263781189918518,-0.5849154591560364,0.0
1666088309360316483,1.2480121850967407,-0.5994768142700195,0.0
1666088309384621810,1.2398743629455566,-0.6145457029342651,0.0
1666088309449876342,1.2206168174743652,-0.6252718567848206,0.0
1666088309539290938,1.2007930278778076,-0.6355093121528625,0.0
1666088309628477159,1.182908296585083,-0.6412226557731628,0.0
1666088309697458700,1.1583696603775024,-0.6420907974243164,0.0
1666088309818091745,1.1422696113586426,-0.6483376026153564,0.0
1666088309886964478,1.127205729484558,-0.6503076553344727,0.0
1666088310036534685,1.1188703775405884,-0.6510531902313232,0.0
1666088310037837391,1.1006239652633667,-0.6436187624931335,0.0
1666088310128441797,1.0846526622772217,-0.6305801868438721,0.0
1666088310276312268,1.062941074371338,-0.6125171780586243,0.0
1666088310277795563,1.0422642230987549,-0.5923996567726135,0.0
1666088310381222675,1.0292795896530151,-0.572785496711731,0.0
1666088310447900531,1.0269129276275635,-0.5535151362419128,0.0
1666088310521977156,1.0283737182617188,-0.5318946242332458,0.0
1666088310651753241,1.0296962261199951,-0.5045269727706909,0.0
1666088310678997206,1.0344531536102295,-0.4709986448287964,0.0
1666088310744383491,1.0365580320358276,-0.435606986284256,0.0
1666088310852318872,1.0415419340133667,-0.38861507177352905,0.0
1666088310909267831,1.0275218486785889,-0.3329791724681854,0.0
1666088311035258403,1.0309782028198242,-0.2831887900829315,0.0
1666088311055716945,1.0412774085998535,-0.22718383371829987,0.0
1666088311130426165,1.0350558757781982,-0.1757936030626297,0.0
1666088311215425146,1.041190505027771,-0.1365138739347458,0.0
1666088311315078803,1.0493263006210327,-0.0838358998298645,0.0
1666088311386735043,1.055243968963623,-0.041516389697790146,0.0
1666088311462342023,1.0554530620574951,-0.002815522253513336,0.0
1666088311550279273,1.0584286451339722,0.027566563338041306,0.0
1666088311614291388,1.055091381072998,0.05716363713145256,0.0
1666088311683397285,1.0507630109786987,0.08155599236488342,0.0
1666088311750583840,1.0401989221572876,0.10093440115451813,0.0
1666088311830347990,1.0218998193740845,0.11309902369976044,0.0
1666088311934653734,1.0053811073303223,0.12320888787508011,0.0
