%time,field.x,field.y,field.z
1666090401705635771,0.0,0.0,0.0
1666090401723080673,0.0,0.0,0.0
1666090401840546189,0.0,0.0,0.0
1666090401840888459,0.0,0.0,0.0
1666090401945359212,0.0,0.0,0.0
1666090401995462294,0.0,0.0,0.0
1666090402077133767,0.0,0.0,0.0
1666090402100892871,0.0,0.0,0.0
1666090402206595753,0.0,0.0,0.0
1666090402206834997,0.0,0.0,0.0
1666090402346522624,0.0,0.0,0.0
1666090402415660780,0.0,0.0,0.0
1666090402415843458,0.0,0.0,0.0
1666090402498583316,0.0,0.0,0.0
1666090402585592849,0.0,0.0,0.0
1666090402738201240,0.0,0.0,0.0
1666090402738244588,0.0,0.0,0.0
1666090402877638909,0.0,0.0,0.0
1666090402963191066,0.0,0.0,0.0
1666090402963231516,0.0,0.0,0.0
1666090403045817333,0.0,0.0,0.0
1666090403151518058,0.0,0.0,0.0
1666090403230759215,0.0,0.0,0.0
1666090403230792843,0.0,0.0,0.0
1666090403316023536,0.0,0.0,0.0
1666090403369659158,0.0,0.0,0.0
1666090403438611237,0.0,0.0,0.0
1666090403533982593,0.0,0.0,0.0
1666090403534016173,0.0,0.0,0.0
1666090403604505570,0.0,0.0,0.0
1666090403753662816,0.0,0.0,0.0
1666090403843354050,0.0,0.0,0.0
1666090403843495716,0.0,0.0,0.0
1666090403902216415,0.0,0.0,0.0
1666090403963782361,0.0,0.0,0.0
1666090404029473827,0.0,0.0,0.0
1666090404156271380,0.0,0.0,0.0
1666090404233891346,0.0,0.0,0.0
1666090404233934721,0.0,0.0,0.0
1666090404349086996,0.0,0.0,0.0
1666090404435456235,0.0,0.0,0.0
1666090404435732066,0.0,0.0,0.0
1666090404509242000,0.0,0.0,0.0
1666090404565627524,0.0,0.0,0.0
1666090404693264624,0.0,0.0,0.0
1666090404772683952,0.0,0.0,0.0
1666090404787366791,0.0,0.0,0.0
1666090404917325773,0.0,0.0,0.0
1666090404917431696,0.0,0.0,0.0
1666090405011951847,0.0,0.0,0.0
1666090405102731931,0.0,0.0,0.0
1666090405194155170,0.0,0.0,0.0
1666090405268962500,0.0,0.0,0.0
1666090405268986272,0.0,0.0,0.0
1666090405333577300,0.0,0.0,0.0
1666090405430099733,0.0,0.0,0.0
1666090405477351656,0.0,0.0,0.0
1666090405581950670,0.0,0.0,0.0
1666090405581987050,0.0,0.0,0.0
1666090405634966367,0.0,0.0,0.0
1666090405689615649,0.0,0.0,0.0
1666090405770032352,0.0,0.0,0.0
1666090405847734787,0.0,0.0,0.0
1666090405909095922,0.0,0.0,0.0
1666090405969106423,0.0,0.0,0.0
1666090406083060502,0.0,0.0,0.0
1666090406184514065,0.0,0.0,0.0
1666090406184664217,0.0,0.0,0.0
1666090406320817029,0.0,0.0,0.0
1666090406320840307,0.0,0.0,0.0
1666090406406366552,0.0,0.0,0.0
1666090406487099736,0.0,0.0,0.0
1666090406555161469,0.0,0.0,0.0
1666090406637489509,0.0,0.0,0.0
1666090406714640756,0.0,0.0,0.0
1666090406777743242,0.0,0.0,0.0
1666090406868838855,0.0,0.0,0.0
1666090406943496233,0.0,0.0,0.0
1666090406998544708,0.0,0.0,0.0
1666090407036846057,0.0,0.0,0.0
1666090407136600346,0.0,0.0,0.0
1666090407136737590,0.0,0.0,0.0
1666090407205086870,0.0,0.0,0.0
1666090407270160543,0.0,0.0,0.0
1666090407364446367,0.0,0.0,0.0
1666090407441338988,0.0,0.0,0.0
1666090407496474751,0.0,0.0,0.0
1666090407552264643,0.0,0.0,0.0
1666090407667282847,0.0,0.0,0.0
1666090407723447721,0.0,0.0,0.0
1666090407780687622,0.0,0.0,0.0
1666090407817995375,0.0,0.0,0.0
1666090407911968661,0.0,0.0,0.0
1666090407965770689,0.0,0.0,0.0
1666090408033742073,0.0,0.0,0.0
1666090408089829448,0.0,0.0,0.0
1666090408144946429,0.0,0.0,0.0
1666090408280188802,0.0,0.0,0.0
1666090408286126337,0.0,0.0,0.0
1666090408348425783,0.0,0.0,0.0
1666090408425381440,0.0,0.0,0.0
1666090408546863334,0.0,0.0,0.0
1666090408553719575,0.0,0.0,0.0
1666090408670654325,0.0,0.0,0.0
1666090408670671061,0.0,0.0,0.0
1666090408775300053,0.0,0.0,0.0
1666090408817589804,0.0,0.0,0.0
1666090408869728512,0.0,0.0,0.0
1666090408954181751,0.0,0.0,0.0
1666090409031965110,0.0,0.0,0.0
1666090409053344905,0.0,0.0,0.0
1666090409121010545,0.0,0.0,0.0
1666090409221916165,0.0,0.0,0.0
1666090409273414173,0.0,0.0,0.0
1666090409347284907,0.0,0.0,0.0
1666090409402243118,0.0,0.0,0.0
1666090409457288425,0.0,0.0,0.0
1666090409505777889,0.0,0.0,0.0
1666090409561648186,0.0,0.0,0.0
1666090409609014373,0.0,0.0,0.0
1666090409712798835,0.0,0.0,0.0
1666090409712825300,0.0,0.0,0.0
1666090409812982956,0.0,0.0,0.0
1666090409813288577,0.0,0.0,0.0
1666090409870349721,0.0,0.0,0.0
1666090409931182696,0.0,0.0,0.0
1666090409993055756,0.0,0.0,0.0
1666090410129985427,0.0,0.0,0.0
1666090410142677165,0.0,0.0,0.0
1666090410252868802,0.0,0.0,0.0
1666090410335851795,0.0,0.0,0.0
1666090410424934240,0.0,0.0,0.0
1666090410472868751,0.0,0.0,0.0
1666090410582760690,0.0,0.0,0.0
1666090410673155675,0.0,0.0,0.0
1666090410735632209,0.0,0.0,0.0
1666090410797550853,0.0,0.0,0.0
1666090410897530037,0.0,0.0,0.0
1666090410958339549,0.0,0.0,0.0
1666090411057395127,0.0,0.0,0.0
1666090411057423304,0.0,0.0,0.0
1666090411221477907,0.0,0.0,0.0
1666090411221557040,0.0,0.0,0.0
1666090411310833458,0.0,0.0,0.0
1666090411419083034,0.0,0.0,0.0
1666090411419219319,0.0,0.0,0.0
1666090411555560122,0.0,0.0,0.0
1666090411635653284,0.0,0.0,0.0
1666090411715141888,0.0,0.0,0.0
1666090411798683042,0.0,0.0,0.0
1666090411927704177,0.0,0.0,0.0
1666090411927729494,0.0,0.0,0.0
1666090412014201437,0.0,0.0,0.0
1666090412086078514,0.0,0.0,0.0
1666090412166098702,0.0,0.0,0.0
1666090412242193859,0.0,0.0,0.0
1666090412309608708,0.0,0.0,0.0
1666090412406180038,0.0,0.0,0.0
1666090412507061024,0.0,0.0,0.0
1666090412511975314,0.0,0.0,0.0
1666090412582382400,0.0,0.0,0.0
1666090412647085173,0.0,0.0,0.0
1666090412758354413,0.0,0.0,0.0
1666090412849728870,0.0,0.0,0.0
1666090412849757979,0.0,0.0,0.0
1666090412907346206,0.0,0.0,0.0
1666090412974088921,0.0,0.0,0.0
1666090413071490066,0.0,0.0,0.0
1666090413118257700,0.0,0.0,0.0
1666090413222812895,0.0,0.0,0.0
1666090413222840250,0.0,0.0,0.0
1666090413328332835,0.0,0.0,0.0
1666090413412285813,0.0,0.0,0.0
1666090413528843968,0.0,0.0,0.0
1666090413528887111,0.0,0.0,0.0
1666090413668669585,0.0,0.0,0.0
1666090413669049906,0.0,0.0,0.0
1666090413741952663,0.0,0.0,0.0
1666090413857196968,0.0,0.0,0.0
1666090413897338834,0.0,0.0,0.0
1666090413968290309,0.0,0.0,0.0
1666090414049657004,0.0,0.0,0.0
1666090414119443660,0.0,0.0,0.0
1666090414125937630,0.0,0.0,0.0
1666090414189206224,0.0,0.0,0.0
1666090414248434417,0.0,0.0,0.0
1666090414307134101,0.0,0.0,0.0
1666090414402730563,0.0,0.0,0.0
1666090414450388683,0.0,0.0,0.0
1666090414510272720,0.0,0.0,0.0
1666090414610195984,0.0,0.0,0.0
1666090414710586617,0.7929415106773376,-1.018613576889038,0.0
1666090414712579450,0.7715316414833069,-1.0452220439910889,0.0
1666090414812889944,0.7511712312698364,-1.066772222518921,0.0
1666090414921496025,0.7364106178283691,-1.0716131925582886,0.0
1666090415001331758,0.7074054479598999,-1.094855546951294,0.0
1666090415044115162,0.6858686208724976,-1.114011287689209,0.0
1666090415094462526,0.6936820149421692,-1.0852034091949463,0.0
1666090415176769141,0.6980938911437988,-1.0694679021835327,0.0
1666090415233629772,0.6991969347000122,-1.0593034029006958,0.0
1666090415276823730,0.7023411989212036,-1.0503038167953491,0.0
1666090415327549424,0.704012930393219,-1.0445759296417236,0.0
1666090415394278810,0.7052798867225647,-1.0416195392608643,0.0
1666090415522184364,0.7157948613166809,-1.0390559434890747,0.0
1666090415568458798,0.7310246825218201,-1.035398006439209,0.0
1666090415615909948,0.7442718148231506,-1.027940034866333,0.0
1666090415698017450,0.7615708112716675,-1.0166550874710083,0.0
1666090415800717497,0.7838101983070374,-1.006126880645752,0.0
1666090415901043143,0.8050740957260132,-0.9909474849700928,0.0
1666090415944269820,0.8295021653175354,-0.9784558415412903,0.0
1666090415988125315,0.8567461967468262,-0.9611808657646179,0.0
1666090416071576801,0.8898621797561646,-0.9360474944114685,0.0
1666090416190986586,0.931614875793457,-0.911846399307251,0.0
1666090416192258305,0.97495436668396,-0.8799970149993896,0.0
1666090416318214063,1.0097029209136963,-0.8478646874427795,0.0
1666090416415211935,1.0355088710784912,-0.8244618773460388,0.0
1666090416451835911,1.0687216520309448,-0.7773253917694092,0.0
1666090416527731317,1.0914173126220703,-0.7200912833213806,0.0
1666090416656034056,1.100791335105896,-0.6772763133049011,0.0
1666090416691957439,1.1111069917678833,-0.6232082843780518,0.0
1666090416810528870,1.1185128688812256,-0.5879338979721069,0.0
1666090416852708046,1.1199040412902832,-0.5462849736213684,0.0
1666090416925856137,1.1203254461288452,-0.5285555720329285,0.0
1666090416976727193,1.1140273809432983,-0.5028797388076782,0.0
1666090417081646505,1.1071593761444092,-0.48114868998527527,0.0
1666090417083038062,1.096756100654602,-0.4689592719078064,0.0
1666090417189556827,1.0878571271896362,-0.46470627188682556,0.0
1666090417278930835,1.0733885765075684,-0.47222596406936646,0.0
1666090417362419255,1.04692542552948,-0.4996725618839264,0.0
1666090417445773050,1.0216739177703857,-0.5375717282295227,0.0
1666090417529867619,0.9930080771446228,-0.5859917998313904,0.0
1666090417629329538,0.9603012800216675,-0.6295351982116699,0.0
1666090417697305633,0.933599591255188,-0.6660715341567993,0.0
1666090417760374749,0.9261272549629211,-0.7190736532211304,0.0
1666090417896555477,0.9141340851783752,-0.7731156945228577,0.0
1666090417906606573,0.9039156436920166,-0.8276851177215576,0.0
1666090417971895729,0.8998905420303345,-0.8856067657470703,0.0
1666090418038347866,0.9037212133407593,-0.9514445662498474,0.0
1666090418121439107,0.906428337097168,-1.0194553136825562,0.0
1666090418260365875,0.9150181412696838,-1.0802490711212158,0.0
1666090418304727219,0.9182469844818115,-1.1318740844726562,0.0
1666090418367706317,0.9223171472549438,-1.1793384552001953,0.0
1666090418466840072,0.9276420474052429,-1.2219618558883667,0.0
1666090418508373341,0.9370805025100708,-1.2634271383285522,0.0
1666090418554163794,0.9509536623954773,-1.2984658479690552,0.0
1666090418615474859,0.9697871804237366,-1.3336877822875977,0.0
1666090418704601525,0.9976039528846741,-1.3577122688293457,0.0
1666090418757211229,1.031295657157898,-1.3694576025009155,0.0
1666090418879218778,1.0661054849624634,-1.3723584413528442,0.0
1666090418881021026,1.1059772968292236,-1.3684097528457642,0.0
1666090419030604244,1.129524827003479,-1.385027289390564,0.0
1666090419032047316,1.1644399166107178,-1.3914790153503418,0.0
1666090419197936569,1.201891303062439,-1.3913211822509766,0.0
1666090419199386654,1.2506786584854126,-1.3838034868240356,0.0
1666090419297000516,1.3134772777557373,-1.3720685243606567,0.0
1666090419383028736,1.3554916381835938,-1.339692234992981,0.0
1666090419468567226,1.393130898475647,-1.3068207502365112,0.0
1666090419567422344,1.4176241159439087,-1.263648271560669,0.0
1666090419651062257,1.4354642629623413,-1.2142332792282104,0.0
1666090419741896659,1.4488396644592285,-1.1653759479522705,0.0
1666090419825429816,1.4639660120010376,-1.1264894008636475,0.0
1666090419948781311,1.4594751596450806,-1.0458720922470093,0.0
1666090420029392744,1.453092098236084,-0.9884852766990662,0.0
1666090420076132677,1.452560305595398,-0.9451757669448853,0.0
1666090420186540446,1.43837571144104,-0.9100261926651001,0.0
1666090420228596286,1.417419672012329,-0.8785557150840759,0.0
1666090420276079771,1.3941417932510376,-0.8426804542541504,0.0
1666090420384290887,1.3729933500289917,-0.8068923950195312,0.0
1666090420461394447,1.3440724611282349,-0.766046404838562,0.0
1666090420535998513,1.319791316986084,-0.7284837365150452,0.0
1666090420618548644,1.3087130784988403,-0.674561083316803,0.0
1666090420709997219,1.3069531917572021,-0.6338871121406555,0.0
1666090420837726992,1.3079642057418823,-0.5581085085868835,0.0
1666090420889955119,1.3115413188934326,-0.5110131502151489,0.0
1666090421021288087,1.330683946609497,-0.45322078466415405,0.0
1666090421037946361,1.3382731676101685,-0.3771403431892395,0.0
1666090421171316206,1.3393402099609375,-0.33036598563194275,0.0
1666090421260196400,1.374003291130066,-0.1773405373096466,0.0
1666090421367608258,1.410142421722412,-0.032360270619392395,0.0
1666090421432549464,1.444392204284668,0.10634087771177292,0.0
1666090421528873543,1.4750654697418213,0.2737042307853699,0.0
1666090421574989903,1.4814592599868774,0.416203111410141,0.0
1666090421640074683,1.4729952812194824,0.5212582349777222,0.0
1666090421724887769,1.4582866430282593,0.6262739300727844,0.0
1666090421789328707,1.4619537591934204,0.7206885814666748,0.0
1666090421872133143,1.4253249168395996,0.8146174550056458,0.0
1666090421997358569,1.3999899625778198,0.8915812373161316,0.0
1666090422070245954,1.3752363920211792,0.9758618474006653,0.0
1666090422134369781,1.3186177015304565,1.0390105247497559,0.0
1666090422253597190,1.267906665802002,1.0966159105300903,0.0
1666090422316716326,1.236599326133728,1.1620944738388062,0.0
1666090422383703220,1.1888539791107178,1.1990082263946533,0.0
1666090422449625943,1.1559386253356934,1.2233163118362427,0.0
1666090422496082684,1.124414086341858,1.2446787357330322,0.0
1666090422572314332,1.0964101552963257,1.2690116167068481,0.0
1666090422628698756,1.0742381811141968,1.2922803163528442,0.0
1666090422676067566,1.0534491539001465,1.3103545904159546,0.0
1666090422768145503,1.0351084470748901,1.3283766508102417,0.0
1666090422837152717,1.021155834197998,1.3466325998306274,0.0
1666090422882238432,1.0036766529083252,1.3617503643035889,0.0
1666090422952537416,0.9941858649253845,1.3753865957260132,0.0
1666090423005728713,0.9821214079856873,1.3833454847335815,0.0
1666090423075074150,0.9598270654678345,1.3974493741989136,0.0
1666090423191736436,0.9348418712615967,1.4076142311096191,0.0
1666090423253942133,0.9054149389266968,1.4190869331359863,0.0
1666090423329290588,0.8776635527610779,1.4276140928268433,0.0
1666090423391073938,0.849927544593811,1.4383103847503662,0.0
1666090423437052230,0.827903151512146,1.4458198547363281,0.0
1666090423532718099,0.8050141930580139,1.4496080875396729,0.0
1666090423574969154,0.7827703952789307,1.4536539316177368,0.0
1666090423644309805,0.7715069055557251,1.447694182395935,0.0
1666090423743682542,0.7530860900878906,1.4606910943984985,0.0
1666090423778545562,0.7396306991577148,1.468975305557251,0.0
1666090423843962196,0.7343625426292419,1.4699110984802246,0.0
1666090423903499334,0.7357937097549438,1.4637346267700195,0.0
1666090424013077237,0.7464383244514465,1.4425864219665527,0.0
1666090424047562863,0.7662913203239441,1.41595458984375,0.0
1666090424115113583,0.8034350872039795,1.3751881122589111,0.0
1666090424242770583,0.8415999412536621,1.3229085206985474,0.0
1666090424318586074,0.8960747718811035,1.2655887603759766,0.0
1666090424382645971,0.9453843235969543,1.200226902961731,0.0
1666090424420970713,0.999222457408905,1.1330528259277344,0.0
1666090424509126099,1.051034927368164,1.0677021741867065,0.0
1666090424557833721,1.0979169607162476,0.9976106882095337,0.0
1666090424644782716,1.1489288806915283,0.9305410385131836,0.0
1666090424721157964,1.1906629800796509,0.8481855988502502,0.0
1666090424757745896,1.229746699333191,0.7736855149269104,0.0
1666090424816791848,1.267328143119812,0.7023771405220032,0.0
1666090424917338604,1.2988247871398926,0.6270432472229004,0.0
1666090424941765275,1.3216086626052856,0.5557425022125244,0.0
1666090425064080595,1.3599880933761597,0.49346935749053955,0.0
1666090425065793050,1.3793690204620361,0.3958442807197571,0.0
1666090425198772147,1.394547939300537,0.33752745389938354,0.0
1666090425244234421,1.4032751321792603,0.2843392789363861,0.0
1666090425369200795,1.4041180610656738,0.23513004183769226,0.0
1666090425371145162,1.3995524644851685,0.19126302003860474,0.0
1666090425462803279,1.3864563703536987,0.15154249966144562,0.0
1666090425541128482,1.3791295289993286,0.12388471513986588,0.0
1666090425665667518,1.3554413318634033,0.10242415219545364,0.0
1666090425765503515,1.3314602375030518,0.08650778234004974,0.0
1666090425882752648,1.3089323043823242,0.07654764503240585,0.0
1666090425974668696,1.2836055755615234,0.07083123922348022,0.0
1666090425976131484,1.2590632438659668,0.06954233348369598,0.0
1666090426085549143,1.231238842010498,0.08921860158443451,0.0
1666090426184132780,1.2099038362503052,0.1026427149772644,0.0
1666090426269498389,1.1931114196777344,0.1162586510181427,0.0
1666090426336169403,1.1784101724624634,0.13050320744514465,0.0
1666090426407357079,1.171274185180664,0.14125069975852966,0.0
1666090426479670307,1.1650054454803467,0.15272673964500427,0.0
1666090426547364582,1.1563305854797363,0.16284354031085968,0.0
1666090426682694233,1.1430752277374268,0.16655077040195465,0.0
1666090426684218306,1.1194219589233398,0.16510021686553955,0.0
1666090426810947164,1.0992686748504639,0.17707253992557526,0.0
1666090426911378728,1.0823194980621338,0.1887877881526947,0.0
1666090426928206932,1.057421326637268,0.1761873960494995,0.0
1666090427008220856,1.0314490795135498,0.15867340564727783,0.0
1666090427077074455,1.0135372877120972,0.14185023307800293,0.0
1666090427205527247,0.9935853481292725,0.11685704439878464,0.0
1666090427283635991,0.9712538123130798,0.09304185211658478,0.0
1666090427370918722,0.9496489763259888,0.07099612802267075,0.0
1666090427390927124,0.9338954091072083,0.05472912639379501,0.0
1666090427472885200,0.9159969091415405,0.0387759655714035,0.0
1666090427551846516,0.9172565340995789,0.030350366607308388,0.0
1666090427619556040,0.9107391834259033,0.01081428024917841,0.0
1666090427724133634,0.9271948337554932,-0.013095548376441002,0.0
1666090427790130297,0.9376150369644165,-0.037373121827840805,0.0
1666090427911072792,0.9508154392242432,-0.06893126666545868,0.0
1666090427952866420,0.9695621132850647,-0.09965238720178604,0.0
1666090428076224553,0.9887049794197083,-0.12769201397895813,0.0
1666090428124281752,1.0108425617218018,-0.14999663829803467,0.0
