%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666091411212658836,0.015,0.0,0.0,0.0,0.0,-0.0539524786221709
1666091411260587973,0.03,0.0,0.0,0.0,0.0,-0.10653774402877624
1666091411311087368,0.045,0.0,0.0,0.0,0.0,-0.15478175339831046
1666091411360874352,0.06,0.0,0.0,0.0,0.0,-0.20302576276784468
1666091411411166760,0.075,0.0,0.0,0.0,0.0,-0.2503758886172868
1666091411460694442,0.09,0.0,0.0,0.0,0.0,-0.29772601446672897
1666091411511391668,0.105,0.0,0.0,0.0,0.0,-0.33621279455277775
1666091411560730514,0.12,0.0,0.0,0.0,0.0,-0.37416142149341614
1666091411611301900,0.135,0.0,0.0,0.0,0.0,-0.40733027733016997
1666091411660742599,0.15000000000000002,0.0,0.0,0.0,0.0,-0.4404991331669238
1666091411710817585,0.16500000000000004,0.0,0.0,0.0,0.0,-0.4748390495640601
1666091411760640222,0.18000000000000005,0.0,0.0,0.0,0.0,-0.5091789659611964
1666091411810825901,0.19500000000000006,0.0,0.0,0.0,0.0,-0.5592124490498315
1666091411860886287,0.21000000000000008,0.0,0.0,0.0,0.0,-0.5903340903349205
1666091411910739906,0.2250000000000001,0.0,0.0,0.0,0.0,-0.6214557316200094
1666091411960788383,0.2400000000000001,0.0,0.0,0.0,0.0,-0.6525773729050984
1666091412010933829,0.2550000000000001,0.0,0.0,0.0,0.0,-0.6890044246381618
1666091412060835980,0.27000000000000013,0.0,0.0,0.0,0.0,-0.7188547604868148
1666091412110952556,0.28500000000000014,0.0,0.0,0.0,0.0,-0.7487050963354679
1666091412161161681,0.30000000000000016,0.0,0.0,0.0,0.0,-0.7789592283121061
1666091412210713953,0.31500000000000017,0.0,0.0,0.0,0.0,-0.8090853724332214
1666091412260839106,0.3300000000000002,0.0,0.0,0.0,0.0,-0.8392115165543368
1666091412310904408,0.3450000000000002,0.0,0.0,0.0,0.0,-0.8693376606754522
1666091412360662722,0.3600000000000002,0.0,0.0,0.0,0.0,-0.8852597926567486
1666091412410613873,0.3750000000000002,0.0,0.0,0.0,0.0,-0.9701453271910067
1666091412460986042,0.38769182562828064,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412510714902,0.40269182562828065,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412561179653,0.41769182562828067,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412611722906,0.4326918256282807,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412660981871,0.4476918256282807,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412710710199,0.3247247338294983,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412760757480,0.3247247338294983,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412811533645,0.3397247338294983,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412861289103,0.3547247338294983,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412910704157,0.36972473382949833,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091412961530266,0.38472473382949834,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091413010666354,0.23472473382949832,0.0,0.0,0.0,0.0,-0.9412833779109216
1666091413060699765,0.0847247338294983,0.0,0.0,0.0,0.0,-0.8166394675065156
1666091413111331514,0.0,0.0,0.0,0.0,0.0,-0.7462366532899747
1666091413160617187,0.0,0.0,0.0,0.0,0.0,-0.7051973859188788
1666091413210771704,0.0,0.0,0.0,0.0,0.0,-0.647317014232029
1666091413261703710,0.0,0.0,0.0,0.0,0.0,-0.647317014232029
1666091413311100595,0.0,0.0,0.0,0.0,0.0,-0.5935316977795762
1666091413360974981,0.0,0.0,0.0,0.0,0.0,-0.5368381658915569
1666091413411398035,0.0,0.0,0.0,0.0,0.0,-0.49762042357745045
1666091413461262898,0.0,0.0,0.0,0.0,0.0,-0.49762042357745045
1666091413511074568,0.0,0.0,0.0,0.0,0.0,-0.4327765370934659
1666091413561206686,0.0,0.0,0.0,0.0,0.0,-0.4327765370934659
1666091413610926173,0.0,0.0,0.0,0.0,0.0,-0.37458760958008375
1666091413660655993,0.0,0.0,0.0,0.0,0.0,-0.3146907414350032
1666091413710724174,0.0,0.0,0.0,0.0,0.0,-0.25581803916554113
1666091413760852503,0.0,0.0,0.0,0.0,0.0,-0.25581803916554113
1666091413811274585,0.0,0.0,0.0,0.0,0.0,-0.25581803916554113
1666091413861137373,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091413910833075,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091413960700489,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091414010733998,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091414060753753,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091414111311936,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091414161108234,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091414210725387,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091414260827848,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091414310856633,0.0,0.0,0.0,0.0,0.0,-0.1000000000000005
1666091414361193444,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091414410876282,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091414460889506,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091414511127611,0.0,0.0,0.0,0.0,0.0,-0.24321725534573416
1666091414561280620,0.0,0.0,0.0,0.0,0.0,-0.2928306994020331
1666091414610625014,0.0,0.0,0.0,0.0,0.0,-0.2928306994020331
1666091414660625760,0.0,0.0,0.0,0.0,0.0,-0.2928306994020331
1666091414710644520,0.0,0.0,0.0,0.0,0.0,-0.2928306994020331
1666091414761044131,0.0,0.0,0.0,0.0,0.0,-0.3859539834450393
1666091414810699563,0.0,0.0,0.0,0.0,0.0,-0.40160985524456194
1666091414860652966,0.0,0.0,0.0,0.0,0.0,-0.40160985524456194
1666091414910812914,0.0,0.0,0.0,0.0,0.0,-0.45102188813274374
1666091414960821542,0.0,0.0,0.0,0.0,0.0,-0.45102188813274374
1666091415011051969,0.0,0.0,0.0,0.0,0.0,-0.4826967253695412
1666091415060655180,0.0,0.0,0.0,0.0,0.0,-0.4826967253695412
1666091415110839331,0.0,0.0,0.0,0.0,0.0,-0.4826967253695412
1666091415160731853,0.0,0.0,0.0,0.0,0.0,-0.5129371665670647
1666091415212583942,0.0,0.0,0.0,0.0,0.0,-0.5653964864512284
1666091415260736282,0.0,0.0,0.0,0.0,0.0,-0.5653964864512284
1666091415310850017,0.0,0.0,0.0,0.0,0.0,-0.5816788990945267
1666091415360607297,0.0,0.0,0.0,0.0,0.0,-0.5814358507479838
1666091415410960039,0.015,0.0,0.0,0.0,0.0,-0.5663556364683935
1666091415460767915,0.03,0.0,0.0,0.0,0.0,-0.5512754221888032
1666091415510760694,0.045,0.0,0.0,0.0,0.0,-0.5269649877499107
1666091415560738201,0.06,0.0,0.0,0.0,0.0,-0.5143794190325697
1666091415611425164,0.075,0.0,0.0,0.0,0.0,-0.5017938503152286
1666091415660669464,0.09,0.0,0.0,0.0,0.0,-0.49004880084049435
1666091415711127905,0.105,0.0,0.0,0.0,0.0,-0.4790550323008182
1666091415760754423,0.12,0.0,0.0,0.0,0.0,-0.468061263761142
1666091415811389902,0.135,0.0,0.0,0.0,0.0,-0.44893732011765075
1666091415860751241,0.15000000000000002,0.0,0.0,0.0,0.0,-0.42981337647415946
1666091415911116328,0.16500000000000004,0.0,0.0,0.0,0.0,-0.42063371742113354
1666091415960627570,0.18000000000000005,0.0,0.0,0.0,0.0,-0.4114540583681076
1666091416010662021,0.19500000000000006,0.0,0.0,0.0,0.0,-0.4022743993150817
1666091416060837736,0.21000000000000008,0.0,0.0,0.0,0.0,-0.39343367862193807
1666091416110822153,0.2250000000000001,0.0,0.0,0.0,0.0,-0.38459295792879444
1666091416160699859,0.2400000000000001,0.0,0.0,0.0,0.0,-0.37617344047243584
1666091416210909753,0.2550000000000001,0.0,0.0,0.0,0.0,-0.36783880070349867
1666091416260747680,0.27000000000000013,0.0,0.0,0.0,0.0,-0.3595041609345615
1666091416310828288,0.28500000000000014,0.0,0.0,0.0,0.0,-0.35116952116562433
1666091416361042368,0.30000000000000016,0.0,0.0,0.0,0.0,-0.3429584802328339
1666091416411230067,0.31500000000000017,0.0,0.0,0.0,0.0,-0.32296240689606676
1666091416460631992,0.3300000000000002,0.0,0.0,0.0,0.0,-0.30296633355929964
1666091416510766326,0.3450000000000002,0.0,0.0,0.0,0.0,-0.2963493469658124
1666091416560634309,0.3600000000000002,0.0,0.0,0.0,0.0,-0.28973236037232514
1666091416610787163,0.3750000000000002,0.0,0.0,0.0,0.0,-0.2830072679362449
1666091416661307952,0.39000000000000024,0.0,0.0,0.0,0.0,-0.2762739515977896
1666091416710737386,0.40500000000000025,0.0,0.0,0.0,0.0,-0.2695406352593343
1666091416760847815,0.42000000000000026,0.0,0.0,0.0,0.0,-0.26270468663661617
1666091416810622225,0.4350000000000003,0.0,0.0,0.0,0.0,-0.25608852415154126
1666091416861076279,0.4500000000000003,0.0,0.0,0.0,0.0,-0.24947236166646633
1666091416911559511,0.4650000000000003,0.0,0.0,0.0,0.0,-0.24303108082479985
1666091416960802274,0.4800000000000003,0.0,0.0,0.0,0.0,-0.23658979998313337
1666091417011051653,0.49500000000000033,0.0,0.0,0.0,0.0,-0.23034628893648304
