%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666090343308996564,0.015,0.0,0.0,0.0,0.0,-0.03854783107481792
1666090343358690861,0.03,0.0,0.0,0.0,0.0,-0.07709566214963584
1666090343408839664,0.045,0.0,0.0,0.0,0.0,-0.11517656520153302
1666090343458137241,0.06,0.0,0.0,0.0,0.0,-0.1532574682534302
1666090343508957108,0.075,0.0,0.0,0.0,0.0,-0.19133837130532738
1666090343558116431,0.09,0.0,0.0,0.0,0.0,-0.23150483945350456
1666090343608468471,0.105,0.0,0.0,0.0,0.0,-0.27453496199711513
1666090343658587481,0.12,0.0,0.0,0.0,0.0,-0.31758856263366636
1666090343708274517,0.135,0.0,0.0,0.0,0.0,-0.3632337425205049
1666090343758096321,0.15000000000000002,0.0,0.0,0.0,0.0,-0.4088789224073434
1666090343809002225,0.16500000000000004,0.0,0.0,0.0,0.0,-0.486174652103178
1666090343858580737,0.18000000000000005,0.0,0.0,0.0,0.0,-0.5634703817990127
1666090343908805226,0.19500000000000006,0.0,0.0,0.0,0.0,-0.608579403256587
1666090343958884161,0.21000000000000008,0.0,0.0,0.0,0.0,-0.6536884247141613
1666090344008599221,0.2250000000000001,0.0,0.0,0.0,0.0,-0.6975246051272227
1666090344058841562,0.2400000000000001,0.0,0.0,0.0,0.0,-0.741796170147838
1666090344108468882,0.2550000000000001,0.0,0.0,0.0,0.0,-0.7860677351684534
1666090344158130101,0.27000000000000013,0.0,0.0,0.0,0.0,-0.828101395002269
1666090344209687183,0.28500000000000014,0.0,0.0,0.0,0.0,-0.8701350548360846
1666090344258265676,0.30000000000000016,0.0,0.0,0.0,0.0,-0.9098466982396258
1666090344308299677,0.31500000000000017,0.0,0.0,0.0,0.0,-0.9495583416431671
1666090344358206474,0.3300000000000002,0.0,0.0,0.0,0.0,-0.9874464372463236
1666090344408361923,0.3450000000000002,0.0,0.0,0.0,0.0,-1.02533453284948
1666090344458182868,0.3600000000000002,0.0,0.0,0.0,0.0,-1.1126726059609655
1666090344508795818,0.3750000000000002,0.0,0.0,0.0,0.0,-1.200010679072451
1666090344558087373,0.39000000000000024,0.0,0.0,0.0,0.0,-1.218083094719468
